x,y,latitude,longitude,altitude,horiz_precision,vert_precision,planeType,dip,dipAzimuth,dipAz_dc,strike,declination,unitId,timedate,notes
581561.1284,5284890.629,47.71224326,-85.91264823,6,5,-1,Joint,69,355,361.5820389,265,-6.58203888,Channel Lake Member, Fri Jul 10 07:31:15 2015,compass
581561.1284,5284890.629,47.71224326,-85.91264823,6,5,-1,Joint,61,349,355.5820389,259,-6.58203888,Channel Lake Member, Fri Jul 10 07:31:15 2015,compass
581561.1284,5284890.629,47.71224326,-85.91264823,6,5,-1,Joint,72,269,275.5820389,179,-6.58203888,Channel Lake Member, Fri Jul 10 07:31:15 2015,compass
581561.1284,5284890.629,47.71224326,-85.91264823,6,5,-1,Joint,88,258,264.5820389,168,-6.58203888,Channel Lake Member, Fri Jul 10 07:31:15 2015,compass
581561.1284,5284890.629,47.71224326,-85.91264823,6,5,-1,Joint,65,273,279.5820389,183,-6.58203888,Channel Lake Member, Fri Jul 10 07:31:15 2015,compass
581561.1284,5284890.629,47.71224326,-85.91264823,6,5,-1,Joint,53,343,349.5820389,253,-6.58203888,Channel Lake Member, Fri Jul 10 07:31:15 2015,compass
581561.1284,5284890.629,47.71224326,-85.91264823,6,5,-1,Joint,55,319,325.5820389,229,-6.58203888,Channel Lake Member, Fri Jul 10 07:31:15 2015,compass
581561.1284,5284890.629,47.71224326,-85.91264823,6,5,-1,Joint,57,265,271.5820389,175,-6.58203888,Channel Lake Member, Fri Jul 10 07:31:15 2015,compass
581561.1284,5284890.629,47.71224326,-85.91264823,6,5,-1,Joint,51,344,350.5820389,254,-6.58203888,Channel Lake Member, Fri Jul 10 07:31:15 2015,compass
581561.1284,5284890.629,47.71224326,-85.91264823,6,5,-1,Joint,68,317,323.5820389,227,-6.58203888,Channel Lake Member, Fri Jul 10 07:31:15 2015,compass
581561.1284,5284890.629,47.71224326,-85.91264823,6,5,-1,Joint,109,126,132.5820389,36,-6.58203888,Channel Lake Member, Fri Jul 10 07:31:15 2015,compass
581561.1284,5284890.629,47.71224326,-85.91264823,6,5,-1,Joint,63,321,327.5820389,231,-6.58203888,Channel Lake Member, Fri Jul 10 07:31:15 2015,compass
581561.1284,5284890.629,47.71224326,-85.91264823,6,5,-1,Flow Banding,37,147,153.5820389,57,-6.58203888,Channel Lake Member, Fri Jul 10 07:31:15 2015,compass
581561.1284,5284890.629,47.71224326,-85.91264823,6,5,-1,Flow Banding,36,146,152.5820389,56,-6.58203888,Channel Lake Member, Fri Jul 10 07:31:15 2015,compass
581561.1284,5284890.629,47.71224326,-85.91264823,6,5,-1,Flow Banding,37,147,153.5820389,57,-6.58203888,Channel Lake Member, Fri Jul 10 07:31:15 2015,compass
581561.1284,5284890.629,47.71224326,-85.91264823,6,5,-1,Flow Banding,37,156,162.5820389,66,-6.58203888,Channel Lake Member, Fri Jul 10 07:31:15 2015,compass
581561.1284,5284890.629,47.71224326,-85.91264823,6,5,-1,Flow Banding,38,153,159.5820389,63,-6.58203888,Channel Lake Member, Fri Jul 10 07:31:15 2015,compass
581564.1995,5284877.922,47.71212855,-85.91260968,4,5,-1,Joint,83.87628937,222.6680145,222.6680145,132.6680145,-6.65908051,Channel Lake Member, Fri Jul 10 05:58:25 2015, 
581564.5905,5284880.079,47.71214792,-85.91260406,12,10,-1,Joint,61.2768898,262.4652405,262.4652405,172.4652405,-6.65908051,Channel Lake Member, Fri Jul 10 06:03:07 2015, 
581566.2783,5284878.556,47.712134,-85.91258185,3,5,-1,Joint,69,348,348,258,-6.65908051,Channel Lake Member, Fri Jul 10 05:56:01 2015, NSH compass
581566.5419,5284882.627,47.71217059,-85.91257758,3,5,-1,Joint,77.53084564,228.6664124,228.6664124,138.6664124,-6.65908051,Channel Lake Member, Fri Jul 10 06:03:25 2015, 
581568.1048,5284887.755,47.71221652,-85.91255578,3,5,-1,Joint,58.17159271,324.7652588,324.7652588,234.7652588,-6.65908051,Channel Lake Member, Fri Jul 10 06:03:46 2015, 
581571.5013,5284889.936,47.71223572,-85.9125101,3,5,-1,Joint,48.32411194,343.4428711,343.4428711,253.4428711,-6.65908051,Channel Lake Member, Fri Jul 10 06:05:20 2015, 
581571.5013,5284889.936,47.71223572,-85.9125101,3,5,-1,Joint,55.95480728,280.9779968,280.9779968,190.9779968,-6.65908051,Channel Lake Member, Fri Jul 10 06:05:12 2015, 
581572.8175,5284890.248,47.71223836,-85.9124925,3,5,-1,Paleohor,34.86855316,152.7911987,152.7911987,62.79119873,-6.65908051,Channel Lake Member, Fri Jul 10 06:13:56 2015,Paleohorizontal
581572.9517,5284890.096,47.71223697,-85.91249074,3,5,-1,Paleohor,39.49145508,147.577713,147.577713,57.57771301,-6.65908051,Channel Lake Member, Fri Jul 10 06:10:31 2015,Paleohorizontal
581572.9533,5284889.537,47.71223194,-85.91249082,3,5,-1,Paleohor,36.76047897,142.0089874,142.0089874,52.00898743,-6.65908051,Channel Lake Member, Fri Jul 10 06:08:22 2015,Paleohorizontal -Joint fromFlow Banding? Should be representative ofBedding
583478.2404,5284860.72,47.7117292,-85.88710045,3,5,-1,Bedding,22.50385475,172.8697052,172.8697052,82.8697052,-6.65908051,West Sand Bay Member, Fri Jul 10 08:25:02 2015, 
583478.7221,5284857.396,47.71169923,-85.88709466,3,5,-1,Bedding,53.79754639,193.5860291,193.5860291,103.5860291,-6.65908051,West Sand Bay Member, Fri Jul 10 08:48:27 2015, 
583479.1516,5284860.766,47.71172949,-85.88708829,4,5,-1,Bedding,46.75940704,179.740921,179.740921,89.74092102,-6.65908051,West Sand Bay Member, Fri Jul 10 08:46:45 2015, 
583479.6551,5284856.799,47.71169374,-85.88708234,3,5,-1,Bedding,51.09386444,169.6502686,169.6502686,79.65026855,-6.65908051,West Sand Bay Member, Fri Jul 10 08:47:02 2015, 
583480.1406,5284857.146,47.7116968,-85.8870758,6,5,-1,Bedding,44.34573746,152.9205017,152.9205017,62.92050171,-6.65908051,West Sand Bay Member, Fri Jul 10 08:28:19 2015, 
583481.6556,5284855.43,47.71168117,-85.88705594,6,5,-1,Bedding,42.11207581,170.9836884,170.9836884,80.98368835,-6.65908051,West Sand Bay Member, Fri Jul 10 08:27:34 2015, 
583483.0329,5284858.925,47.71171243,-85.88703691,6,5,-1,Bedding,27.33982468,160.5245056,160.5245056,70.52450562,-6.65908051,West Sand Bay Member, Fri Jul 10 08:35:27 2015, 
583483.7366,5284855.027,47.71167727,-85.88702828,6,5,-1,Bedding,54.72212982,177.7320862,177.7320862,87.73208618,-6.65908051,West Sand Bay Member, Fri Jul 10 08:36:33 2015, 
583485.9976,5284862.662,47.71174567,-85.88699668,4,5,-1,Bedding,43.94483185,178.8993835,178.8993835,88.89938354,-6.65908051,West Sand Bay Member, Fri Jul 10 08:23:47 2015, 
583487.6878,5284860.576,47.71172668,-85.88697455,3,5,-1,Bedding,35.13307571,176.4625549,176.4625549,86.46255493,-6.65908051,West Sand Bay Member, Fri Jul 10 08:24:11 2015, 
586149.1849,5284084.946,47.70439964,-85.85165304,3,5,-1,Joint,84.54962158,316.8486633,316.8486633,226.8486633,-6.65908051,SS4, Sun Jul 12 06:44:55 2015,1
586150.2343,5284081.612,47.70436951,-85.85163971,3,5,-1,Joint,88.36424255,343.6550293,343.6550293,253.6550293,-6.65908051,SS4, Sun Jul 12 06:47:05 2015,1
586150.2519,5284089.337,47.704439,-85.85163795,3,5,-1,Joint,59.88585281,307.620575,307.620575,217.620575,-6.65908051,SS4, Sun Jul 12 06:48:12 2015,1
586150.2519,5284089.337,47.704439,-85.85163795,3,5,-1,Joint,68.70625305,55.94578552,55.94578552,325.9458008,-6.65908051,SS4, Sun Jul 12 06:47:56 2015,1
586150.2617,5284081.888,47.70437198,-85.8516393,3,5,-1,Joint,86.87870026,258.8835449,258.8835449,168.8835449,-6.65908051,SS4, Sun Jul 12 06:46:36 2015,1
586150.2617,5284081.888,47.70437198,-85.8516393,3,5,-1,Joint,88.79453278,54.94374084,54.94374084,324.9437256,-6.65908051,SS4, Sun Jul 12 06:46:12 2015,1
586150.9543,5284086.077,47.70440958,-85.85162924,3,5,-1,Joint,75.85746002,87.67195129,87.67195129,357.671936,-6.65908051,SS4, Sun Jul 12 06:44:23 2015,1
586168.2994,5284092.092,47.70446138,-85.85139689,6,5,-1,Flow Banding,19.51088524,182.618927,182.618927,92.618927,-6.58203888,South Shore Member, Sun Jul 12 13:47:57 2015, 
586168.9026,5284091.71,47.70445785,-85.85138893,4,5,-1,Flow Banding,24.55108643,173.9252167,173.9252167,83.92521667,-6.58203888,South Shore Member, Sun Jul 12 13:48:25 2015, 
586169.3146,5284092.34,47.70446347,-85.85138331,4,5,-1,Flow Banding,25.83696747,180.5567017,180.5567017,90.55670166,-6.58203888,South Shore Member, Sun Jul 12 13:46:57 2015, 
586169.4226,5284091.843,47.70445899,-85.85138197,3,5,-1,Flow Banding,28.63350296,188.8090668,188.8090668,98.80906677,-6.58203888,South Shore Member, Sun Jul 12 13:48:32 2015, 
586170.0522,5284091.373,47.70445467,-85.85137367,3,5,-1,Flow Banding,25.23831177,190.3067627,190.3067627,100.3067627,-6.58203888,South Shore Member, Sun Jul 12 13:45:28 2015,
586170.0522,5284091.373,47.70445467,-85.85137367,3,5,-1,Flow Banding,17,189,195.5820389,99,-6.58203888,SS7, Sun Jul 12 13:45:28 2015,compass
586170.0522,5284091.373,47.70445467,-85.85137367,3,5,-1,Flow Banding,20,179,185.5820389,89,-6.58203888,SS7, Sun Jul 12 13:45:28 2015,compass
586170.0522,5284091.373,47.70445467,-85.85137367,3,5,-1,Flow Banding,17,199,205.5820389,109,-6.58203888,SS7, Sun Jul 12 13:45:28 2015,compass
586170.0522,5284091.373,47.70445467,-85.85137367,3,5,-1,Flow Banding,25,184,190.5820389,94,-6.58203888,SS7, Sun Jul 12 13:45:28 2015,compass
586170.0522,5284091.373,47.70445467,-85.85137367,3,5,-1,Flow Banding,22,195,201.5820389,105,-6.58203888,SS7, Sun Jul 12 13:45:28 2015,compass
586170.0522,5284091.373,47.70445467,-85.85137367,3,5,-1,Flow Banding,21,182,188.5820389,92,-6.58203888,SS7, Sun Jul 12 13:45:28 2015,compass
586170.0522,5284091.373,47.70445467,-85.85137367,3,5,-1,Flow Banding,15,176,182.5820389,86,-6.58203888,SS7, Sun Jul 12 13:45:28 2015,compass
586170.0522,5284091.373,47.70445467,-85.85137367,3,5,-1,Flow Banding,19,181,187.5820389,91,-6.58203888,SS7, Sun Jul 12 13:45:28 2015,compass
586170.0522,5284091.373,47.70445467,-85.85137367,3,5,-1,Flow Banding,39,191,197.5820389,101,-6.58203888,SS7, Sun Jul 12 13:45:28 2015,compass
586170.0522,5284091.373,47.70445467,-85.85137367,3,5,-1,Flow Banding,33,161,167.5820389,71,-6.58203888,SS7, Sun Jul 12 13:45:28 2015,compass
586170.0522,5284091.373,47.70445467,-85.85137367,3,5,-1,Flow Banding,27,184,190.5820389,94,-6.58203888,SS7, Sun Jul 12 13:45:28 2015,compass
586170.0522,5284091.373,47.70445467,-85.85137367,3,5,-1,Flow Banding,24,201,207.5820389,111,-6.58203888,SS7, Sun Jul 12 13:45:28 2015,compass
586170.0522,5284091.373,47.70445467,-85.85137367,3,5,-1,Flow Banding,19,203,209.5820389,113,-6.58203888,SS7, Sun Jul 12 13:45:28 2015,compass
586170.0522,5284091.373,47.70445467,-85.85137367,3,5,-1,Flow Banding,23,187,193.5820389,97,-6.58203888,SS7, Sun Jul 12 13:45:28 2015,compass
