THICKNESS,LITHOLOGY,GRAIN_SIZE,FEATURES,TOP,NOTES,BEDFORMS,SAMPLE,LAYER,d13c,d18o,SAMP_HEIGHT,STRAT_EC,THICKNESS (NO COVER),THICKNESS (WITH COVER)
1.3,cover,,,,,,,,,,128.9,,,13.3
9.9,m,,,,SLB10,,,,,,130.2,,12,
1,mv,,,,,,,,,,140.1,,,
1.1,v,,hem and pahoehoe,flow top,,,,,,,141.1,,,
3.2,mv-v,,clastic dikes,,SLB11,,,,,,142.2,,3.8,3.8
0.6,v,,hem and pahoehoe,flow top,,,,,,,145.4,,,
0.3,mv,,,,SLB12,,,,,,146,,5.3,5.3
2.6,m,,subophitic and clastic dikes,,,,,,,,146.3,,,
1.4,mv-v,,,,,,,,,,148.9,,,
1,v,,,flow top,,,,,,,150.3,,,
0.4,mv,,,,SLB13,,,,,,151.3,,1.8,13.7
0.9,m,,,,,,,,,,151.7,,,
0.5,mv,,,,,,,,,,152.6,,,
11.9,cover,,,,,,,,,,153.1,,,
9.4,m,,ophitic,,SLB14,,,,,,165,,17.7,21
3.3,cover,,,,,,,,,,174.4,,,
2.1,m,,ophitic,,,,,,,,177.7,,,
0.4,mv,,segregation vesicle sheets,,,,,,,,179.8,,,
4.1,m,,,,,,,,,,180.2,,,
0.8,mv,,,,,,,,,,184.3,,,
0.9,v,,,flow top,,,,,,,185.1,,,
14.8,m,,,,SLB15,,,,,,186,,20.1,20.1
3.1,mv,,,,,,,,,,200.8,,,
2.2,v,,,flow top,,,,,,,203.9,,,
0.5,mv,,,,SLB16,,,,,,206.1,,12.6,12.6
7.1,m,,,,,,,,,,206.6,,,
1.4,mv,,,,,,,,,,213.7,,,
3.6,v,,pahoehoe,flow top w/sltst,,,,,,,215.1,,,
0.4,mv,,pipes,,SLB17,,,,,,218.7,,6.1,7.2
3.1,m,,,,,,,,,,219.1,,,
1.7,mv,,,,,,,,,,222.2,,,
0.9,v,,,flow top,,,,,,,223.9,,,
1.1,cover,,,,,,,,,,224.8,,,
2.2,m,,,,SLB18,,,,,,225.9,,4.5,6.3
1.1,mv,,,,,,,,,,228.1,,,
0.8,v,,,flow top?,,,,,,,229.2,,,
1.8,cover,,,,,,,,,,230,,,
0.4,v,,,flow top,,,,,,,231.8,,,
0.2,mv,,"pipes, subophitic",,SLB19,,,,,,232.2,,2.5,2.5
1.2,m,,,,,,,,,,232.4,,,
0.7,mv,,hem and pahoehoe,flow top,,,,,,,233.6,,,
0.2,mv,,pipes,,,,,,,,234.3,,,
0.2,v,,hem and pahoehoe,flow top,,,,,,,234.5,,,
0.3,mv,,pipes,,SLB20,,,,,,234.7,,4.8,11.6
2,m,,,,,,,,,,235,,,
1.2,mv,,,,,,,,,,237,,,
1.3,v,,,flow top,,,,,,,238.2,,,
6.8,cover,,,,,,,,,,239.5,,,
9.4,m,,ophitic,,SLB21,,,,,,246.3,,13.9,13.9
2.8,mv,,clastic dikes?,,,,,,,,255.7,,,
1.7,v,,hem and pahoehoe,flow top,,,,,,,258.5,,,
1.2,m,,,,SLB22,,,,,,260.2,,2.6,2.6
0.6,mv,,,,,,,,,,261.4,,,
0.8,v,,hem and pahoehoe,flow top,,,,,,,262,,,
0.5,mv,,,,SLB23,,,,,,262.8,,2.6,2.6
1.1,m,,,,,,,,,,263.3,,,
1,v,,,flow top,,,,,,,264.4,,,
0.3,mv,,pipes,,,,,,,,265.4,,1,1
0.2,v,,hem and pahoehoe,flow top,,,,,,,265.7,,,
0.2,mv,,pipes,,,,,,,,265.9,,,
0.3,v,,hem and pahoehoe,flow top w/sltst,,,,,,,266.1,,,
0.3,mv,,pipes,,SLB24,,,,,,266.4,,2.6,2.6
0.5,m,,,,,,,,,,266.7,,,
1,mv,,clastic dike,,,,,,,,267.2,,,
0.8,v,,hem and pahoehoe,flow top,,,,,,,268.2,,,
0.2,mv,,,,SLB25,,,,,,269,,1.3,21.3
0.5,m,,,,,,,,,,269.2,,,
0.2,mv,,clastic dikes,,,,,,,,269.7,,,
0.4,v,,,flow top,,,,,,,269.9,,,
20,cover,,,,,,,,,,270.3,,,
5.9,mv,,,,SLB26,,,,,,290.3,,8.3,8.3
2.4,v,,,flow top,,,,,,,296.2,,,
2.2,cover,,,,,,,,,,298.6,,6.3,32.8
4.7,m,,"subophitic, vesicular cylinders",,SLB27,,,,,,300.8,,,
24.3,cover,,,,,,,,,,305.5,,,
1.6,v,,,flow top,,,,,,,329.8,,,
0.4,mv,,,,SLB28,,,,,,331.4,,7.6,7.6
2.6,m,,,,,,,,,,331.8,,,
3.6,mv,,,,,,,,,,334.4,,,
1,v,,,flow top,,,,,,,338,,,
10.3,m,,clastic dikes,,SLB29,,,,,,339,,30.6,30.6
17,mv-v,,,,,,,,,,349.3,,,
3.3,v,,hem and pahoehoe,flow top,,,,,,,366.3,,,
1.4,mv,,,,SLB30,,,,,,369.6,,2.3,2.3
0.9,v,,hem and pahoehoe,flow top,,,,,,,371,,,
0.3,mv,,pipes,,SLB31,,,,,,371.9,,11.8,11.8
7.5,m,,ophitic,,,,,,,,372.2,,,
2.8,mv,,,,,,,,,,379.7,,,
1.2,v,,hem and pahoehoe,flow top,,,,,,,382.5,,,
0.4,mv,,pipes,,SLB32,,,,,,383.7,,2.5,2.5
0.4,m,,,,,,,,,,384.1,,,
0.3,mv,,,,,,,,,,384.5,,,
1.4,v,,hem and pahoehoe,flow top,,,,,,,384.8,,,
2.2,v,,,flow top,SLB33,,,,,,386.2,,2.2,2.2
0.2,mv,,,,SLB34,,,,,,388.4,,2.9,7.5
1.2,m,,,,,,,,,,388.6,,,
1.2,mv,,,,,,,,,,389.8,,,
4.6,cover,,,,,,,,,,391,,,
0.3,v,,,flow top,,,,,,,395.6,,,
0.4,mv,,pipes,,,,,,,,395.9,,6.5,24.1
6.1,m,,ophitic,,SLB35,,,,,,396.3,,,
17.6,cover,,,,,,,,,,402.4,,,
2,m,,,,SLB36,,,,,,420,,7.4,12.5
4.4,mv,,,,,,,,,,422,,,
1,v,,,,,,,,,,426.4,,,
5.1,cover,,,,,,,,,,427.4,,,
1.8,m,,,,SLB37,,,,,,432.5,,4.7,4.7
2,mv,,,,,,,,,,434.3,,,
0.9,v,,,Cover flow top,,,,,,,436.3,,,
1,m,,,,SLB38,,,,,,437.2,,2.7,2.7
0.5,mv,,,,,,,,,,438.2,,,
1.2,v,,hem and pahoehoe,flow top,,,,,,,438.7,,,
2.3,mv,,,,SLB39,,,,,,439.9,,3.1,3.1
0.8,v,,hem and pahoehoe,flow top,,,,,,,442.2,,,
1.7,m,,,,SLB 40,,,,,,443,,2.2,2.2
0.5,mv,,,,,,,,,,444.7,,,
