Formation,Plate_ID,Terrane,AgeUpper,AgeLower,AgeNominal,Q,N(n),Dec,Inc,a95,A95,Block,k,CPlat,CPlon,SLat,SLon,PLat,PLon,RefLat,RefLon,Reference,Comment
Konchozero Sill,,Baltica-Fennoscandia,2001,1947,1974,4,11,103,40,,10.35374328,,,-14.2,281.899994,62.099998,34,-14.2,281.899994,46.78,267.9,"Pisarevsky,S.A., Sokolov,S.J.",B
Volyn-Dniestr-Bug intrusions,,Baltica-Sarmatia,2010,1990,2000,3,92,30.2,52.6,,12.7,,,64.4,140.4,50.9,27.4,64.4,140.4,46.78,267.9,"Elming, S.-ê„., Shumlyanskyy, L., Kravchenko, S., Layer, P., Sê_derlund, U.",B
Kuetsyarvi Formation,,Baltica-Fennoscandia,2068,2052,2060,4,64,278,41,,16.40426774,,,24.7,300.8,69.5,29.5,24.7,300.8,46.78,267.9,"Torsvik, T.H. and Meert, J.",B
Volyn-Dniestr-Bug intrusions A-group,,Baltica-Sarmatia,2081,2041,2061,5,41,27.7,-36.8,,13.7,,,15.7,182.9,49.6,29.8,15.7,182.9,46.78,267.9,"Elming, S.-ê„., Shumlyanskyy, L., Kravchenko, S., Layer, P., Sê_derlund, U.",B
Taivalkoski dyke,,Baltica-Fennoscandia,2357,2321,2339,3,9,134.5,-7.3,,6.3,,,20.4,257.3,65.5,28.1,20.4,257.3,46.78,267.9,"Salminen, J., Halls, H.C., Mertanen, S., Pesonen, L.J., Vuollo, J., Sê_derlund, U.",C
Taivalkoski dyke,,Baltica-Fennoscandia,2442,2372,2407,4,60,94.5,58.7,,25.1,,,-33.5,276.4,65.6,28.9,-33.5,276.4,46.78,267.9,"Salminen, J., Halls, H.C., Mertanen, S., Pesonen, L.J., Vuollo, J., Sê_derlund, U.",B
Karelian Dykes,,Baltica-Fennoscandia,2451,2441,2446,4,69,102.099998,45.200001,,6.1,,,-19.9,278.700012,66,30.700001,-19.9,278.700012,46.78,267.9,"Mertanen,S., Halls,H.C., Vuollo,J.I., Pesonen,L.J., Stepanov,V.S.",B
Imandra Layered Intrusion,,Baltica-Fennoscandia,2485,2407,2446,5,25,102.599998,39.700001,,7.849203781,,,-16.1,280.299988,67.599998,33.099998,-16.1,280.299988,46.78,267.9,"Arestova, N.A., Khramov, A.N., Gooskova, E.G., Iosifidi, A.G.",B
Avdeev gabbronorite and thin Shalskiy diabase dyke,,Baltica-Fennoscandia,2510,2441,2475.5,5,28,146.1,55.4,,13.95349419,,,-12.3,243.5,61.94,36.05,-12.3,243.5,46.78,267.9,"Mertanen, S., Vuollo, J.I., Huhma, H., Arestova N.A., Kovalenko, A.",B
Monchegorsk Intrusion,,Baltica-Fennoscandia,2506,2502,2504,4,50,306,-23,,9.899494937,,,1.3,265.299988,68,33,1.3,265.299988,46.78,267.9,"Pechersky,D.M., Zakharov,V.S., Lyubushin,A.A.",B
Generalskaya Layered Intrusion,,Baltica-Fennoscandia,2507,2503,2505,5,27,79.300003,61,,10.40624812,,,-42.5,292.700012,69.400002,31,-42.5,292.700012,46.78,267.9,"Arestova, N.A., Khramov, A.N., Gooskova, E.G., Iosifidi, A.G.",B
Shalskiy thick gabbronorite dyke,,Baltica-Fennoscandia,2512,2509,2510.5,4,5,174,10.4,,11.52562363,,,22.7,222.1,61.94,36.05,22.7,222.1,46.78,267.9,"Mertanen, S., Vuollo, J.I., Huhma, H., Arestova N.A., Kovalenko, A.",B
Koitere sanukitoids,,Baltica-Fennoscandia-Karelia,2686,2682,2684,3,28,133.9,-85.1,,19.5,,,-67.5,192.5,63.3,30.6,-67.5,192.5,46.78,267.9,"Mertanen, S., Korhonen, F.",B
